Issue,Status,Call
assayinformation,closed,/assay?uri=http%3A%2F%2Fopeninnovation.lilly.com%2Fbioassay%2329
assayclassmembers:list,closed,/assay/members/count?uri=http%3A%2F%2Fwww.bioassayontology.org%2Fbao%23BAO_0000219
assayclassmembers:count,closed,/assay/members/pages?uri=http%3A%2F%2Fwww.bioassayontology.org%2Fbao%23BAO_0000219
chemicalstructuretoURI:InChI,closed,/structure?inchi=InChI%3D1S%2FC9H8O4%2Fc1-6(10)13-8-5-3-2-4-7(8)9(11)12%2Fh2-5H%2C1H3%2C(H%2C11%2C12)
chemicalstructuretoURI:InChIKey,closed,/structure?inchi_key=BSYNRYMUTXBXSQ-UHFFFAOYSA-N
chemicalstructuretoURI:SMILES,closed,/structure?smiles=CC(%3DO)Oc1ccccc1C(%3DO)O
Exactstructuresearch,closed,/structure/exact?searchOptions.Molecule=CNC(%3DO)c1cc(ccn1)Oc2ccc(cc2)NC(%3DO)Nc3ccc(c(c3)C(F)(F)F)Cl&searchOptions.MatchType=0
Similaritysearch,closed,/structure/similarity?searchOptions.Molecule=CC(%3DO)Oc1ccccc1C(%3DO)O&searchOptions.SimilarityType=0&searchOptions.Threshold=0.95
Substructuresearch,closed,/structure/substructure?searchOptions.Molecule=CC(%3DO)Oc1ccccc1C(%3DO)O&searchOptions.MolType=0
compoundinformation,closed,/compound?uri=http%3A%2F%2Fwww.conceptwiki.org%2Fconcept%2F38932552-111f-4a4e-a46a-4ed1d7bdf9d5
compoundinformationbatch,closed,/compound/batch?uri_list=http%3A%2F%2Fwww.conceptwiki.org%2Fconcept%2F38932552-111f-4a4e-a46a-4ed1d7bdf9d5%7Chttp%3A%2F%2Fwww.conceptwiki.org%2Fconcept%2Fdd758846-1dac-4f0d-a329-06af9a7fa413
compoundclassifications,closed,/compound/classifications?uri=http%3A%2F%2Fwww.conceptwiki.org%2Fconcept%2F38932552-111f-4a4e-a46a-4ed1d7bdf9d5
classificationoftargetsforcompound,closed,/compound/classificationsForTargets?uri=http%3A%2F%2Fops.rsc.org%2FOPS6958
compoundclassmembers:count,closed,/compound/members/count?uri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCHEBI_24431
compoundclassmembers:list,closed,/compound/members/pages?uri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCHEBI_24431
compoundpharmacology:count,closed,/compound/pharmacology/count?uri=http%3A%2F%2Fwww.conceptwiki.org%2Fconcept%2F38932552-111f-4a4e-a46a-4ed1d7bdf9d5
compoundpharmacology:list,closed,/compound/pharmacology/pages?uri=http%3A%2F%2Fwww.conceptwiki.org%2Fconcept%2F38932552-111f-4a4e-a46a-4ed1d7bdf9d5
CompoundClassPharmacology:count,closed,/compound/tree/pharmacology/count?uri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCHEBI_100
CompoundClassPharmacology:list,closed,/compound/tree/pharmacology/pages?uri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCHEBI_100
Hierarchies:RootNodes,closed,/tree
Hierarchies:Rootenzyme,closed,/tree?root=enzyme
Hierarchies:Rootchembl,closed,/tree?root=chembl
Hierarchies:Rootchebi,closed,/tree?root=chebi
Hierarchies:Rootgo,closed,/tree?root=go
Hierarchies:ChildNodes,closed,/tree/children?uri=http%3A%2F%2Fpurl.uniprot.org%2Fenzyme%2F6.2.-.-
Hierarchies:ParentNodes,closed,/tree/parents?uri=http%3A%2F%2Fpurl.uniprot.org%2Fenzyme%2F6.2.-.-
ConceptDescription,closed,/getConceptDescription?uuid=8e3a87ae-345d-4c25-bd7a-5b3221c6e3fa
FreeTexttoConceptforSemanticTag,closed,/search/byTag?q=aspirin&uuid=07a84994-e464-4bbf-812a-a4b96fa3d197
FreeTexttoConcept,closed,/search/freetext?q=aspirin
DataSources,closed,/sources
DiseaseInformation,closed,/disease?uri=http%3A%2F%2Flinkedlifedata.com%2Fresource%2Fumls%2Fid%2FC0004238
AssociationsforDisease:List,closed,/disease/assoc/byDisease?uri=http%3A%2F%2Flinkedlifedata.com%2Fresource%2Fumls%2Fid%2FC0004238
AssociationsforDisease:Count,closed,/disease/assoc/byDisease/count?uri=http%3A%2F%2Flinkedlifedata.com%2Fresource%2Fumls%2Fid%2FC0004238
