Issue,Status,Call
376a,open,/pathways/interactions/byEntity/count?uri=http%3A%2F%2Fwww.chemspider.com%2FChemical-Structure.392413
376b,open,/pathways/interactions/byEntity/count?uri=http%3A%2F%2Fwww.hmdb.ca%2Fmetabolites%2FHMDB01206
377,closed,/target/pharmacology/pages?uri=http%3A%2F%2Fwww.uniprot.org%2Funiprot%2FP56470&_pageSize=all&_pageSize=all
382,open,/target/tree/pharmacology/pages?uri=http%3A%2F%2Fpurl.uniprot.org%2Fenzyme%2F6.2.-.-
383,closed,/target?uri=http%3A%2F%2Fpurl.uniprot.org%2Funiprot%2FQ9Y5Y9
384,closed,/disease/assoc/byTarget?uri=http%3A%2F%2Fpurl.uniprot.org%2Funiprot%2FQ9Y5Y9
385a,closed,/pathways/byTarget?uri=http%3A%2F%2Fidentifiers.org%2Fncbigene%2F291
385b,closed,/pathways/interactions/byEntity?uri=http%3A%2F%2Fidentifiers.org%2Fensembl%2FENSBTAG00000004037
386a,closed,/pharmacology/filters/activities?activity_unit=centimeter
386b,closed,/pharmacology/filters/activities/count?activity_unit=centimeter
386c,closed,/pharmacology/filters/units/pages
387a,closed,/tree
387b,closed,/tree?root=enzyme
387c,closed,/tree?root=chembl
388a,closed,/compound/members/pages?uri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCHEBI_24431
388b,closed,/compound/tree/pharmacology/pages?uri=http%3A%2F%2Fpurl.obolibrary.org%2Fobo%2FCHEBI_100
390a,closed,/target/pharmacology/pages?_format=json&uri=http%3A%2F%2Fwww.conceptwiki.org%2Fconcept%2Fd2a9dbd1-78fb-4f2f-adba-9be028a15bd1&_page=1&_pageSize=100
390b,closed,/target/pharmacology/count?uri=http%3A%2F%2Fwww.conceptwiki.org%2Fconcept%2Fd2a9dbd1-78fb-4f2f-adba-9be028a15bd1&_format=json
